filename,reason
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-01075.jpg,"System Error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00158.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-01080.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-01078.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-01077.jpg,"System Error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-01084.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00162.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00174.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00168.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-01090.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00152.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00172.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-01094.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-01088.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00164.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-01074.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00170.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00150.jpg,Blank Card / No data found
